,TOTIMPSB,TOTEXPSB,REFINOBS,INDPROD,Date
81,-0.000000,6159.000000,2402.000000,-8974.000000,2020-10-01
82,-0.000000,6354.000000,2339.000000,-8972.000000,2020-11-01
83,-0.000000,6495.000000,2328.000000,-8980.000000,2020-12-01
84,-0.000000,6582.000000,2343.000000,-9103.000000,2021-01-01
85,-0.000000,5625.000000,2281.000000,-8147.000000,2021-02-01
86,-0.000000,5427.000000,2431.000000,-8138.000000,2021-03-01
87,-0.000000,5408.000000,2295.000000,-8134.000000,2021-04-01
88,-0.000000,5649.000000,2389.000000,-8544.000000,2021-05-01
89,-0.000000,5965.000000,2398.000000,-8927.000000,2021-06-01
90,-0.000000,6327.000000,2457.000000,-9474.000000,2021-07-01
91,-0.000000,6450.000000,2521.000000,-9562.000000,2021-08-01
92,-0.000000,6516.000000,2490.000000,-9662.000000,2021-09-01
93,-0.000000,6833.000000,2611.000000,-9780.000000,2021-10-01
94,-0.000000,6949.000000,2772.000000,-9912.000000,2021-11-01
95,-0.000000,6937.000000,2694.000000,-10022.000000,2021-12-01
96,-0.000000,6996.000000,2777.000000,-10145.000000,2022-01-01
97,-0.000000,7307.000000,2506.000000,-10225.000000,2022-02-01
98,-0.000000,7235.000000,2773.000000,-10300.000000,2022-03-01
99,-0.000000,7382.000000,2538.000000,-10441.000000,2022-04-01
100,-0.000000,7050.000000,2749.000000,-10538.000000,2022-05-01
101,-0.000000,7196.000000,2849.000000,-10646.000000,2022-06-01
102,-0.000000,7384.000000,2763.000000,-10815.000000,2022-07-01
103,-0.000000,7601.000000,2801.000000,-11051.000000,2022-08-01
104,-0.000000,7721.000000,2693.000000,-11041.000000,2022-09-01
105,-0.000000,7773.000000,2679.000000,-10957.000000,2022-10-01
106,-0.000000,7280.000000,2660.000000,-10468.000000,2022-11-01
107,-0.000000,7437.000000,2620.000000,-10435.000000,2022-12-01
108,-0.000000,7658.000000,2577.000000,-10453.000000,2023-01-01
109,-0.000000,7455.000000,2443.000000,-10450.000000,2023-02-01
110,-0.000000,7523.000000,2732.000000,-10464.000000,2023-03-01
111,-0.000000,7316.000000,2690.000000,-10461.000000,2023-04-01
112,-0.000000,6928.000000,2590.000000,-9959.000000,2023-05-01
113,-0.000000,6804.000000,2562.000000,-9956.000000,2023-06-01
114,-55.000000,6012.000000,2559.000000,-9013.000000,2023-07-01
115,-56.000000,5584.000000,2530.000000,-8918.000000,2023-08-01
116,-96.000000,5754.000000,2866.000000,-8975.000000,2023-09-01
117,-114.000000,6297.000000,2116.000000,-8940.000000,2023-10-01
118,-112.000000,6336.000000,2089.000000,-8818.000000,2023-11-01
119,-63.000000,6308.000000,2415.000000,-8944.000000,2023-12-01
120,-159.000000,6297.000000,2425.000000,-8956.000000,2024-01-01
121,-109.000000,6317.000000,2675.000000,-9011.000000,2024-02-01
122,-120.000000,6413.000000,2560.000000,-8973.000000,2024-03-01
123,-149.000000,5968.000000,2545.000000,-8986.000000,2024-04-01
124,-146.000000,6118.000000,2946.000000,-8993.000000,2024-05-01
125,-140.000000,6047.000000,2423.000000,-8830.000000,2024-06-01
126,-139.000000,5741.000000,2397.000000,-8941.000000,2024-07-01
127,-115.000000,5671.000000,2721.000000,-8992.000000,2024-08-01
